d4:9a:a0:d0:eb:c9,83.055162414,2.317240872
a0:65:18:ad:e8:ea,14.740379259,5.088605135
ac:64:62:e8:9c:01,12.748341747,2.841658037
98:f4:28:eb:a7:68,10.615563251,1.501470705
a4:f4:c2:dd:94:00,9.816605144,10.8649933
94:a7:b7:d2:d3:82,9.794731275,3.662819898
d4:9a:a0:4b:b3:d0,8.200384242,2.132804412
74:4d:28:57:14:32,7.868922413,3.439347843
a0:65:18:4c:b1:bf,7.354838554,5.041493398
d4:9a:a0:52:82:d9,7.064271944,5.20704925
d4:9a:a0:b2:30:a2,6.745505559,6.623486237
d4:9a:a0:93:c6:59,6.322436211,14.044558669
a0:65:18:66:ec:92,5.937885354,4.014106329
a4:f4:c2:c2:a6:55,5.929711936,2.610592592
18:44:e6:bc:dc:5d,5.892726955,0.765254344
18:e8:29:2f:51:a2,5.772445788,12.799944001
ac:64:62:d1:33:b3,5.073951121,5.998134456
a4:f4:c2:93:51:9e,4.967201807,0.105610695
a4:f4:c2:d3:3c:89,4.678589163,0.327380871
cc:71:90:39:48:11,4.433708362,0.678973585
ac:64:62:d1:30:b6,4.386370656,10.722859738
14:49:bc:1b:b0:41,4.296845503,8.140096391
44:f4:36:eb:90:61,4.289368124,2.733752177
a4:f4:c2:dd:3a:09,4.263692325,1.430186227
a0:65:18:9b:9c:85,4.113743199,21.682600566
a0:65:18:0e:fd:74,4.103421453,1.249489819
ac:64:62:e9:4a:ca,3.952739862,7.962623003
d4:9a:a0:49:42:e8,3.607977331,10.728334569
98:f4:28:e5:e5:0d,3.558490434,6.385694451
34:4d:ea:d8:e8:86,3.540204837,8.816592825
a0:65:18:2f:29:2c,3.525634355,12.847636292
d4:9a:a0:03:31:c7,3.397182856,3.230083714
a0:65:18:72:74:08,3.344343536,2.187606787
a0:65:18:49:2e:8e,3.285256896,3.122768567
98:f4:28:ea:b5:88,3.230349664,7.52437301
98:f4:28:da:7e:6d,3.12049745,1.309481606
14:49:bc:0c:5c:23,3.105627246,7.782772245
a0:65:18:49:67:64,3.006465663,1.011377991
00:1d:aa:00:00:01,2.966535849,22.580378479
d4:9a:a0:86:5b:c0,2.961500624,11.378431025
d4:9a:a0:63:c8:c8,2.888834943,4.967265963
d4:9a:a0:d5:e3:49,2.809533324,1.211448122
a0:65:18:65:78:b2,2.780755189,9.218355652
