d4:9a:a0:d0:eb:c9,1.649257461649E9,1.649257521654E9,56288150,83055162414
a0:65:18:ad:e8:ea,1.649257461645E9,1.649257521744E9,20721268,14740379259
ac:64:62:e8:9c:01,1.649257461886E9,1.649257523689E9,3062907,12748341747
98:f4:28:eb:a7:68,1.649257462543E9,1.649257522605E9,3758079,10615563251
a4:f4:c2:dd:94:00,1.649257461645E9,1.649257521645E9,43576961,9816605144
94:a7:b7:d2:d3:82,1.649257461892E9,1.649257522479E9,3397198,9794731275
d4:9a:a0:4b:b3:d0,1.649257461645E9,1.649257521646E9,246,8200384242
74:4d:28:57:14:32,1.649257461789E9,1.649257521812E9,27760422,7868922413
a0:65:18:4c:b1:bf,1.649257461646E9,1.649257521647E9,3483,7354838554
d4:9a:a0:52:82:d9,1.649257461792E9,1.649257521794E9,9492,7064271944
d4:9a:a0:b2:30:a2,1.64925746168E9,1.64925752168E9,14056987,6745505559
d4:9a:a0:93:c6:59,1.649257461647E9,1.649257521647E9,9048442,6322436211
a0:65:18:66:ec:92,1.649257462264E9,1.649257522302E9,53323,5937885354
a4:f4:c2:c2:a6:55,1.649257461646E9,1.649257521646E9,7452445,5929711936
18:44:e6:bc:dc:5d,1.649257461942E9,1.649257522694E9,9275,5892726955
18:e8:29:2f:51:a2,1.649257461659E9,1.649257521659E9,77845691,5772445788
ac:64:62:d1:33:b3,1.6492574617E9,1.649257521708E9,5857676,5073951121
a4:f4:c2:93:51:9e,1.649257461667E9,1.64925752167E9,526,4967201807
a4:f4:c2:d3:3c:89,1.649257464844E9,1.649257525094E9,0,4678589163
cc:71:90:39:48:11,1.649257462581E9,1.649257522604E9,1261,4433708362
ac:64:62:d1:30:b6,1.649257461654E9,1.649257521659E9,20420340,4386370656
14:49:bc:1b:b0:41,1.649257461649E9,1.649257521669E9,657933,4296845503
44:f4:36:eb:90:61,1.649257462703E9,1.649257527391E9,2988,4289368124
a4:f4:c2:dd:3a:09,1.649257461791E9,1.649257523112E9,3350953,4263692325
a0:65:18:9b:9c:85,1.649257461662E9,1.649257521662E9,67558219,4113743199
a0:65:18:0e:fd:74,1.649257461652E9,1.649257521653E9,0,4103421453
ac:64:62:e9:4a:ca,1.649257461677E9,1.649257521681E9,12764412,3952739862
d4:9a:a0:49:42:e8,1.649257461646E9,1.649257521655E9,39790703,3607977331
